reelStrip1=7,0,4,0,3,0,6,0,5,0,7,0,7,0,4,0,1,0,5,0,3,0,7,0,6,0,4,0,6,0,3,0,5,0,7,0,6,0,7,0,4,0,4,0,1,0,1,0,5,0,6,0,6,0,1,0,6,0,4,0,7,0,6,0,4,0,4,0,4,0,4,0,2,0,6,0,4,0,3,0,6,0,4,0,6,0,6,0,4,0,6,0,5,0,6,0,4,0,4,0
reelStrip2=4,0,6,0,7,0,7,0,1,0,1,0,3,0,4,0,2,0,5,0,5,0,3,0,7,0,6,0,6,0,6,0,5,0,4,0,2,0,2,0,4,0,2,0,4,0,5,0,6,0,5,0,4,0,4,0,1,0,7,0,7,0,4,0,3,0,3,0,7,0,1,0,4,0,4,0,6,0,3,0,3,0,2,0,4,0,2,0,1,0,1,0,2,0,5,0,3,0,7,0
reelStrip3=1,0,2,0,4,0,7,0,4,0,7,0,4,0,3,0,4,0,7,0,6,0,4,0,7,0,1,0,1,0,6,0,7,0,6,0,4,0,1,0,3,0,6,0,6,0,6,0,7,0,2,0,3,0,7,0,6,0,1,0,1,0,2,0,3,0,3,0,7,0,4,0,4,0,4,0,6,0,1,0,3,0,7,0,1,0,1,0,5,0,1,0,3,0,4,0,4,0,7,0
reelStrip4=4,0,4,0,2,0,4,0,6,0,4,0,3,0,4,0,6,0,3,0,4,0,7,0,4,0,1,0,3,0,4,0,6,0,4,0,7,0,5,0,1,0,2,0,6,0,1,0,4,0,6,0,6,0,5,0,6,0,4,0,4,0,2,0,2,0,6,0,6,0,1,0,5,0,3,0,6,0,5,0,1,0,4,0,1,0,6,0,4,0,4,0,2,0,7,0,3,0,3,0
reelStrip5=6,0,5,0,4,0,6,0,3,0,6,0,1,0,1,0,4,0,6,0,6,0,6,0,4,0,4,0,4,0,4,0,6,0,6,0,5,0,3,0,7,0,1,0,4,0,7,0,6,0,7,0,1,0,5,0,3,0,7,0,7,0,4,0,3,0,7,0,3,0,6,0,6,0,7,0,4,0,4,0,4,0,7,0,7,0,6,0,7,0,3,0,6,0,4,0,4,0,4,0
reelStripBonus1=5,0,6,0,2,0,6,0,6,0,3,0,5,0,1,0,3,0,7,0,3,0,1,0,3,0,3,0,1,0,5,0,3,0,3,0,5,0,2,0,6,0,7,0,3,0,1,0,4,0,3,0,3,0,1,0,1,0,3,0,7,0,1,0,1,0,6,0,6,0,1,0,4,0,1,0,3,0,6,0,6,0,6,0,4,0,3,0,1,0,6,0,1,0,3,0,1,0,6,0
reelStripBonus2=6,0,4,0,3,0,3,0,7,0,7,0,1,0,5,0,1,0,7,0,3,0,2,0,6,0,5,0,6,0,3,0,1,0,1,0,7,0,1,0,4,0,3,0,1,0,1,0,7,0,6,0,4,0,1,0,4,0,1,0,2,0,6,0,7,0,1,0,4,0,4,0,6,0,6,0,1,0,7,0,2,0,2,0,7,0,1,0,4,0,4,0,6,0,7,0,1,0,6,0
reelStripBonus3=1,0,1,0,6,0,4,0,7,0,1,0,6,0,1,0,6,0,6,0,4,0,6,0,3,0,3,0,7,0,4,0,6,0,3,0,2,0,7,0,7,0,2,0,1,0,6,0,7,0,6,0,6,0,2,0,6,0,4,0,1,0,4,0,3,0,1,0,3,0,4,0,3,0,7,0,1,0,1,0,7,0,7,0,3,0,7,0,1,0,3,0,4,0,2,0,3,0,6,0
reelStripBonus4=5,0,1,0,6,0,4,0,3,0,6,0,7,0,3,0,6,0,4,0,7,0,6,0,4,0,3,0,5,0,3,0,5,0,2,0,2,0,3,0,7,0,3,0,3,0,2,0,7,0,1,0,4,0,1,0,1,0,3,0,6,0,3,0,7,0,3,0,7,0,1,0,1,0,2,0,1,0,2,0,4,0,1,0,1,0,3,0,1,0,2,0,5,0,3,0,2,0,5,0
reelStripBonus5=4,0,3,0,5,0,1,0,4,0,1,0,7,0,6,0,1,0,1,0,1,0,5,0,5,0,1,0,1,0,3,0,7,0,5,0,2,0,7,0,6,0,4,0,1,0,5,0,6,0,2,0,7,0,7,0,7,0,4,0,1,0,4,0,6,0,6,0,3,0,7,0,1,0,1,0,6,0,6,0,4,0,3,0,6,0,5,0,1,0,3,0,5,0,5,0,1,0,7,0
